trial,date,tank,urchinGroup,pycnoTreat,algalTreat,minutes,interacting
041,2021-08-29,TF2,starved,control,control,40,0
041,2021-08-29,TF2,starved,control,control,45,0
041,2021-08-29,TF2,starved,control,control,50,0.6
041,2021-08-29,TF2,starved,control,control,55,0.6
041,2021-08-29,TF2,starved,control,control,60,0
042,2021-08-29,TF1,starved,pycno,control,5,0.6
042,2021-08-29,TF1,starved,pycno,control,10,0
042,2021-08-29,TF1,starved,pycno,control,15,0
042,2021-08-29,TF1,starved,pycno,control,20,0
042,2021-08-29,TF1,starved,pycno,control,25,0
042,2021-08-29,TF1,starved,pycno,control,30,0
042,2021-08-29,TF1,starved,pycno,control,35,0
042,2021-08-29,TF1,starved,pycno,control,40,0
042,2021-08-29,TF1,starved,pycno,control,45,0
042,2021-08-29,TF1,starved,pycno,control,50,0
042,2021-08-29,TF1,starved,pycno,control,55,0
042,2021-08-29,TF1,starved,pycno,control,60,0
043,2021-08-29,TF2,fed,pycno,nereo,5,1
043,2021-08-29,TF2,fed,pycno,nereo,10,1
043,2021-08-29,TF2,fed,pycno,nereo,15,1
043,2021-08-29,TF2,fed,pycno,nereo,20,1
043,2021-08-29,TF2,fed,pycno,nereo,25,1
043,2021-08-29,TF2,fed,pycno,nereo,30,1
043,2021-08-29,TF2,fed,pycno,nereo,35,1
043,2021-08-29,TF2,fed,pycno,nereo,40,0.8
043,2021-08-29,TF2,fed,pycno,nereo,45,0
043,2021-08-29,TF2,fed,pycno,nereo,50,0
043,2021-08-29,TF2,fed,pycno,nereo,55,0
043,2021-08-29,TF2,fed,pycno,nereo,60,0
044,2021-08-29,TF1,fed,pycno,nereo,5,0
044,2021-08-29,TF1,fed,pycno,nereo,10,0
044,2021-08-29,TF1,fed,pycno,nereo,15,0
044,2021-08-29,TF1,fed,pycno,nereo,20,0
044,2021-08-29,TF1,fed,pycno,nereo,25,1
044,2021-08-29,TF1,fed,pycno,nereo,30,0.4
044,2021-08-29,TF1,fed,pycno,nereo,35,0
044,2021-08-29,TF1,fed,pycno,nereo,40,0
044,2021-08-29,TF1,fed,pycno,nereo,45,0
044,2021-08-29,TF1,fed,pycno,nereo,50,0
044,2021-08-29,TF1,fed,pycno,nereo,55,0
044,2021-08-29,TF1,fed,pycno,nereo,60,0
045,2021-08-30,TF2,fed,pycno,nereo,5,1
045,2021-08-30,TF2,fed,pycno,nereo,10,1
